"origin_date","horizon","location","target","output_type","output_type_id","value"
"2022-12-05",5,"20","inc covid hosp","quantile",0.6,57.4619212978464
"2022-12-05",5,"20","inc covid hosp","quantile",0.65,59.6283081004012
"2022-12-05",5,"20","inc covid hosp","quantile",0.7,61.4319501988515
"2022-12-05",5,"20","inc covid hosp","quantile",0.75,64.0891495179061
"2022-12-05",5,"20","inc covid hosp","quantile",0.8,66.7393630508349
"2022-12-05",5,"20","inc covid hosp","quantile",0.85,69.6545644930548
"2022-12-05",5,"20","inc covid hosp","quantile",0.9,73.7106768130913
"2022-12-05",5,"20","inc covid hosp","quantile",0.95,84.1375435032062
"2022-12-05",5,"20","inc covid hosp","quantile",0.975,93.5387001595885
"2022-12-05",5,"20","inc covid hosp","quantile",0.99,100.960651765288
"2022-12-05",6,"20","inc covid hosp","quantile",0.01,28.5826273096274
"2022-12-05",6,"20","inc covid hosp","quantile",0.025,32.052443052999
"2022-12-05",6,"20","inc covid hosp","quantile",0.05,34.8495755243898
"2022-12-05",6,"20","inc covid hosp","quantile",0.1,37.7484224867327
"2022-12-05",6,"20","inc covid hosp","quantile",0.15,40.6207466293274
"2022-12-05",6,"20","inc covid hosp","quantile",0.2,43.1129011272602
"2022-12-05",6,"20","inc covid hosp","quantile",0.25,45.1191545465358
"2022-12-05",6,"20","inc covid hosp","quantile",0.3,46.9858398211162
"2022-12-05",6,"20","inc covid hosp","quantile",0.35,49.289871492869
"2022-12-05",6,"20","inc covid hosp","quantile",0.4,50.9118215299673
"2022-12-05",6,"20","inc covid hosp","quantile",0.45,52.7077755771495
"2022-12-05",6,"20","inc covid hosp","quantile",0.5,54.6606446611798
"2022-12-05",6,"20","inc covid hosp","quantile",0.55,56.3059631150132
"2022-12-05",6,"20","inc covid hosp","quantile",0.6,57.9964125679228
"2022-12-05",6,"20","inc covid hosp","quantile",0.65,59.7225633598312
"2022-12-05",6,"20","inc covid hosp","quantile",0.7,61.7736704550566
"2022-12-05",6,"20","inc covid hosp","quantile",0.75,64.3919294387609
"2022-12-05",6,"20","inc covid hosp","quantile",0.8,67.6319483110829
"2022-12-05",6,"20","inc covid hosp","quantile",0.85,71.2931097726589
"2022-12-05",6,"20","inc covid hosp","quantile",0.9,76.863460325881
"2022-12-05",6,"20","inc covid hosp","quantile",0.95,86.0480618239872
"2022-12-05",6,"20","inc covid hosp","quantile",0.975,97.3041843152923
"2022-12-05",6,"20","inc covid hosp","quantile",0.99,106.373668309517
"2022-12-05",7,"20","inc covid hosp","quantile",0.01,28.4457375433192
"2022-12-05",7,"20","inc covid hosp","quantile",0.025,31.0424863581567
"2022-12-05",7,"20","inc covid hosp","quantile",0.05,34.4944096126188
"2022-12-05",7,"20","inc covid hosp","quantile",0.1,37.658303030568
"2022-12-05",7,"20","inc covid hosp","quantile",0.15,40.7037644671298
"2022-12-05",7,"20","inc covid hosp","quantile",0.2,42.927524336007
"2022-12-05",7,"20","inc covid hosp","quantile",0.25,44.7738983665301
"2022-12-05",7,"20","inc covid hosp","quantile",0.3,46.9983083316732
"2022-12-05",7,"20","inc covid hosp","quantile",0.35,49.1143678765687
"2022-12-05",7,"20","inc covid hosp","quantile",0.4,51.160838593069
"2022-12-05",7,"20","inc covid hosp","quantile",0.45,52.6001629077608
"2022-12-05",7,"20","inc covid hosp","quantile",0.5,53.9175331202202
"2022-12-05",7,"20","inc covid hosp","quantile",0.55,55.9800695261861
"2022-12-05",7,"20","inc covid hosp","quantile",0.6,57.4579974575293
"2022-12-05",7,"20","inc covid hosp","quantile",0.65,60.1023057941744
"2022-12-05",7,"20","inc covid hosp","quantile",0.7,62.9027401816751
"2022-12-05",7,"20","inc covid hosp","quantile",0.75,65.3577820491604
"2022-12-05",7,"20","inc covid hosp","quantile",0.8,69.4377590783746
"2022-12-05",7,"20","inc covid hosp","quantile",0.85,73.4182234435476
"2022-12-05",7,"20","inc covid hosp","quantile",0.9,77.8818590543257
"2022-12-05",7,"20","inc covid hosp","quantile",0.95,89.4806852461546
"2022-12-05",7,"20","inc covid hosp","quantile",0.975,96.1733294895639
